"","cog.uniq"
"1282","COG1534"
"1283","COG1536"
"1284","COG1537"
"1285","COG1538"
"1286","COG1539"
"1287","COG1540"
"1288","COG1541"
"1289","COG1543"
"1290","COG1544"
"1291","COG1545"
"1292","COG1546"
"1293","COG1550"
"1294","COG1551"
"1295","COG1554"
"1296","COG1555"
"1297","COG1556"
"1298","COG1558"
"1299","COG1559"
"1300","COG1560"
"1301","COG1561"
"1302","COG1562"
"1303","COG1563"
"1304","COG1564"
"1305","COG1565"
"1306","COG1566"
"1307","COG1567"
"1308","COG1569"
"1309","COG1570"
"1310","COG1572"
"1311","COG1573"
"1312","COG1574"
"1313","COG1575"
"1314","COG1576"
"1315","COG1577"
"1316","COG1578"
"1317","COG1579"
"1318","COG1580"
"1319","COG1583"
"1320","COG1585"
"1321","COG1586"
"1322","COG1587"
"1323","COG1589"
"1324","COG1592"
"1325","COG1593"
"1326","COG1594"
"1327","COG1595"
"1328","COG1596"
"1329","COG1597"
"1330","COG1598"
"1331","COG1600"
"1332","COG1601"
"1333","COG1605"
"1334","COG1606"
"1335","COG1607"
"1336","COG1609"
"1337","COG1610"
"1338","COG1611"
"1339","COG1614"
"1340","COG1619"
"1341","COG1620"
"1342","COG1621"
"1343","COG1624"
"1344","COG1625"
"1345","COG1626"
"1346","COG1629"
"1347","COG1632"
"1348","COG1633"
"1349","COG1635"
"1350","COG1636"
"1351","COG1638"
"1352","COG1640"
"1353","COG1641"
"1354","COG1643"
"1355","COG1648"
"1356","COG1649"
"1357","COG1651"
"1358","COG1652"
"1359","COG1653"
"1360","COG1658"
"1361","COG1660"
"1362","COG1661"
"1363","COG1662"
"1364","COG1663"
"1365","COG1664"
"1366","COG1666"
"1367","COG1668"
"1368","COG1669"
"1369","COG1670"
"1370","COG1671"
"1371","COG1672"
"1372","COG1674"
"1373","COG1675"
"1374","COG1677"
"1375","COG1678"
"1376","COG1680"
"1377","COG1682"
"1378","COG1683"
"1379","COG1684"
"1380","COG1686"
"1381","COG1687"
"1382","COG1690"
"1383","COG1691"
"1384","COG1692"
"1385","COG1693"
"1386","COG1694"
"1387","COG1695"
"1388","COG1696"
"1389","COG1697"
"1390","COG1699"
"1391","COG1700"
"1392","COG1702"
"1393","COG1703"
"1394","COG1704"
"1395","COG1705"
"1396","COG1706"
"1397","COG1708"
"1398","COG1709"
"1399","COG1712"
"1400","COG1713"
"1401","COG1714"
"1402","COG1715"
"1403","COG1716"
"1404","COG1717"
"1405","COG1718"
"1406","COG1720"
"1407","COG1721"
"1408","COG1722"
"1409","COG1724"
"1410","COG1725"
"1411","COG1726"
"1412","COG1727"
"1413","COG1729"
"1414","COG1730"
"1415","COG1732"
"1416","COG1733"
"1417","COG1734"
"1418","COG1736"
"1419","COG1737"
"1420","COG1738"
"1421","COG1739"
"1422","COG1740"
"1423","COG1741"
"1424","COG1743"
"1425","COG1744"
"1426","COG1748"
"1427","COG1749"
"1428","COG1752"
"1429","COG1754"
"1430","COG1755"
"1431","COG1757"
"1432","COG1758"
"1433","COG1760"
"1434","COG1762"
"1435","COG1763"
"1436","COG1764"
"1437","COG1765"
"1438","COG1766"
"1439","COG1767"
"1440","COG1768"
"1441","COG1770"
"1442","COG1773"
"1443","COG1774"
"1444","COG1775"
"1445","COG1778"
"1446","COG1779"
"1447","COG1781"
"1448","COG1782"
"1449","COG1783"
"1450","COG1785"
"1451","COG1787"
"1452","COG1788"
"1453","COG1791"
"1454","COG1792"
"1455","COG1793"
"1456","COG1794"
"1457","COG1797"
"1458","COG1798"
"1459","COG1799"
"1460","COG1802"
"1461","COG1803"
"1462","COG1804"
"1463","COG1805"
"1464","COG1806"
"1465","COG1807"
"1466","COG1808"
"1467","COG1811"
"1468","COG1813"
"1469","COG1814"
"1470","COG1815"
"1471","COG1816"
"1472","COG1819"
"1473","COG1820"
"1474","COG1825"
"1475","COG1826"
"1476","COG1827"
"1477","COG1830"
"1478","COG1832"
"1479","COG1834"
"1480","COG1835"
"1481","COG1837"
"1482","COG1838"
"1483","COG1840"
"1484","COG1841"
"1485","COG1842"
"1486","COG1843"
"1487","COG1846"
"1488","COG1847"
"1489","COG1848"
"1490","COG1850"
"1491","COG1853"
"1492","COG1854"
"1493","COG1855"
